fixed code:/home/apr/CodeSearchAndMatch/Defects4J/fixed_bugs_dir/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java-318-349
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java-316-353
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java-316-353
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java-460-496
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java-460-496
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java-439-469
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java-579-609
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYErrorRenderer.java-280-305
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYErrorRenderer.java-315-340
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java-533-568
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java-533-568
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java-533-568
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYDifferenceRenderer.java-1039-1094
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/axis/Axis.java-1215-1234
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java-415-457
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java-415-457
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java-415-457
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java-415-457
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java-415-457
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java-289-304
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java-388-409
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/LineAndShapeRenderer.java-611-633
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/annotations/XYLineAnnotation.java-174-207
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java-220-244
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYStepRenderer.java-181-220
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/axis/CyclicNumberAxis.java-1010-1030
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/CategoryPlot.java-3072-3085
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/AreaRenderer.java-241-277
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/AreaRenderer.java-241-277
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/axis/ValueAxis.java-688-707
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java-360-378
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BarRenderer3D.java-475-500
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java-984-1003
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java-1027-1046
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/HighLowRenderer.java-352-369
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BarRenderer3D.java-418-441
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/XYPlot.java-3474-3481
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/XYPlot.java-3539-3547
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/title/PaintScaleLegend.java-540-582
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/ThermometerPlot.java-1009-1016
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/ThermometerPlot.java-1020-1027
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/ThermometerPlot.java-1031-1038
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/title/PaintScaleLegend.java-497-539
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java-827-851
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/LayeredBarRenderer.java-422-457
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/LayeredBarRenderer.java-422-457
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java-874-903
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java-488-493
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java-627-632
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/PiePlot3D.java-386-417
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/HighLowRenderer.java-315-322
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/HighLowRenderer.java-337-344
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/CandlestickRenderer.java-750-755
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/CandlestickRenderer.java-760-765
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/block/LineBorder.java-151-174
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java-180-217
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/PiePlot.java-2672-2694
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/PiePlot.java-2708-2731
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/HighLowRenderer.java-287-297
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/CandlestickRenderer.java-770-804
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/CandlestickRenderer.java-770-804
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/CandlestickRenderer.java-770-804
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/ui/StrokeSample.java-118-151
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java-260-269
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/LevelRenderer.java-305-336
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/IntervalBarRenderer.java-172-208
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/axis/CyclicNumberAxis.java-1064-1083
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/CategoryPlot.java-3110-3121
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/XYPlot.java-3504-3515
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/plot/XYPlot.java-3570-3581
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/axis/ValueAxis.java-524-539
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/annotations/XYBoxAnnotation.java-168-205
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/axis/PeriodAxis.java-694-701
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/axis/PeriodAxis.java-717-728
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/axis/PeriodAxis.java-729-734
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRenderer.java-608-631
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/LayeredBarRenderer.java-310-319
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/IntervalBarRenderer.java-254-263
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BarRenderer.java-769-778
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/GanttRenderer.java-496-505
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/YIntervalRenderer.java-146-174
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYLineAndShapeRenderer.java-979-1011
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/LineRenderer3D.java-399-418
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java-476-484
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BoxAndWhiskerRenderer.java-615-623
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java-1265-1308
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/LineAndShapeRenderer.java-636-684
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/XYBlockRenderer.java-346-379
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/LineRenderer3D.java-251-281
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/BarRenderer3D.java-326-356
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StackedBarRenderer3D.java-491-503
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StackedBarRenderer3D.java-688-700
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/ChartFactory.java-350-387
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/ChartFactory.java-476-513
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java-1065-1109
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java-1011-1056
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java-307-316
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Chart/Chart_25/source/org/jfree/chart/renderer/category/CategoryStepRenderer.java-238-245
