OP1:(UPD, FieldDeclaration, null, OP2)
OP2:   (UPD, VariableDeclarationFragment, OP1, OP3)
OP3:      (UPD, ArrayInitializer, OP2, OP4 OP6 OP8 OP10 OP12 OP14 OP16 OP18 OP20 OP22 OP24 OP26 OP28 OP30 OP32 OP34 OP36 OP38 OP40 OP42 OP44 OP46 OP48 OP50 OP52 OP54 OP56)
OP4:         (UPD, ArrayInitializer, OP3, OP5)
OP5:            (UPD, StringLiteral, OP4, null)
OP6:         (UPD, ArrayInitializer, OP3, OP7)
OP7:            (UPD, StringLiteral, OP6, null)
OP8:         (UPD, ArrayInitializer, OP3, OP9)
OP9:            (UPD, StringLiteral, OP8, null)
OP10:         (UPD, ArrayInitializer, OP3, OP11)
OP11:            (UPD, StringLiteral, OP10, null)
OP12:         (UPD, ArrayInitializer, OP3, OP13)
OP13:            (UPD, StringLiteral, OP12, null)
OP14:         (UPD, ArrayInitializer, OP3, OP15)
OP15:            (UPD, StringLiteral, OP14, null)
OP16:         (UPD, ArrayInitializer, OP3, OP17)
OP17:            (UPD, StringLiteral, OP16, null)
OP18:         (UPD, ArrayInitializer, OP3, OP19)
OP19:            (UPD, StringLiteral, OP18, null)
OP20:         (UPD, ArrayInitializer, OP3, OP21)
OP21:            (UPD, StringLiteral, OP20, null)
OP22:         (UPD, ArrayInitializer, OP3, OP23)
OP23:            (UPD, StringLiteral, OP22, null)
OP24:         (UPD, ArrayInitializer, OP3, OP25)
OP25:            (UPD, StringLiteral, OP24, null)
OP26:         (UPD, ArrayInitializer, OP3, OP27)
OP27:            (UPD, StringLiteral, OP26, null)
OP28:         (UPD, ArrayInitializer, OP3, OP29)
OP29:            (UPD, StringLiteral, OP28, null)
OP30:         (UPD, ArrayInitializer, OP3, OP31)
OP31:            (UPD, StringLiteral, OP30, null)
OP32:         (UPD, ArrayInitializer, OP3, OP33)
OP33:            (UPD, StringLiteral, OP32, null)
OP34:         (UPD, ArrayInitializer, OP3, OP35)
OP35:            (UPD, StringLiteral, OP34, null)
OP36:         (UPD, ArrayInitializer, OP3, OP37)
OP37:            (UPD, StringLiteral, OP36, null)
OP38:         (UPD, ArrayInitializer, OP3, OP39)
OP39:            (UPD, StringLiteral, OP38, null)
OP40:         (UPD, ArrayInitializer, OP3, OP41)
OP41:            (UPD, StringLiteral, OP40, null)
OP42:         (UPD, ArrayInitializer, OP3, OP43)
OP43:            (UPD, StringLiteral, OP42, null)
OP44:         (UPD, ArrayInitializer, OP3, OP45)
OP45:            (UPD, StringLiteral, OP44, null)
OP46:         (UPD, ArrayInitializer, OP3, OP47)
OP47:            (UPD, StringLiteral, OP46, null)
OP48:         (UPD, ArrayInitializer, OP3, OP49)
OP49:            (UPD, StringLiteral, OP48, null)
OP50:         (UPD, ArrayInitializer, OP3, OP51)
OP51:            (UPD, StringLiteral, OP50, null)
OP52:         (UPD, ArrayInitializer, OP3, OP53)
OP53:            (UPD, StringLiteral, OP52, null)
OP54:         (UPD, ArrayInitializer, OP3, OP55)
OP55:            (UPD, StringLiteral, OP54, null)
OP56:         (UPD, ArrayInitializer, OP3, OP57)
OP57:            (UPD, StringLiteral, OP56, null)


